1	1.0	1.58	1.05	1.15	1.22	0.54	0.73	0.82	0.82	0.9	0.73	0.75
2	1.0	2.02	0.98	1.08	1.05	0.46	0.5	0.8	1.5	1.91	1.9	1.86
3	1.0	2.94	4.08	2.74	2.48	2.68	2.61	2.15	2.32	1.34	1.35	1.23
4	1.0	1.11	1.11	0.63	1.22	0.77	0.61	0.51	0.53	1.54	2.44	3.18
5	1.0	1.11	3.53	3.46	4.59	1.71	0.78	0.55	0.54	0.87	1.0	0.85
6	1.0	1.29	1.05	0.73	0.72	5.63	3.5	1.94	0.94	1.33	1.69	1.88
7	1.0	1.17	1.22	0.73	0.85	1.11	1.42	1.9	1.66	1.63	2.45	4.04
8	1.0	0.91	0.64	0.81	0.83	1.18	2.11	3.33	3.68	2.71	2.4	2.27
9	1.0	0.75	1.19	1.23	0.77	0.84	1.06	1.45	1.8	1.03	1.2	1.06
10	1.0	1.4	1.68	2.09	3.18	1.42	1.38	1.64	1.74	2.33	2.19	2.67
